车辆品牌,品牌,品牌属地,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,保值率,里程分组,排量分组
宝马X1,BMW,外国,2014款,X1 sDrive18i,2.0T,自动,运动设计套装,2014/4/1,1.8,27.1,43.2,0.63,小于10万,中级轿车
宝马Z4,BMW,外国,2013款,Z4 sDrive20i,2.0T,自动,领先型(进口),2013/11/1,2,34,63.3,0.54,小于10万,中级轿车
宝马Z4,BMW,外国,2013款,Z4 sDrive20i,2.0T,自动,领先型(进口),2013/11/1,2,34,63.3,0.54,小于10万,中级轿车
宝马3系,BMW,外国,2016款,328i xDrive,2.0T,自动,M运动型,2015/11/1,2,35.8,51.5,0.7,小于10万,中级轿车
宝马3系,BMW,外国,2016款,328ixDrive,2.0T,自动,M运动型,2015/11/1,2,35.8,51.5,0.7,小于10万,中级轿车
奔驰C级,Benz,外国,2015款,C300,2.0T,自动,运动版,2015/7/1,2,39.5,49.8,0.79,小于10万,中级轿车
奔驰C级,Benz,外国,2015款,C300,2.0T,自动,运动版,2015/7/1,2,39.5,49.8,0.79,小于10万,中级轿车
凯迪拉克XTS,Cadillac,外国,2014款,,2.0T,自动,28T,2015/3/1,2.1,28,41.2,0.68,小于10万,中级轿车
凯迪拉克XTS,Cadillac,外国,2014款,,2.0T,自动,28T精英型,2015/3/1,2.1,28,41.2,0.68,小于10万,中级轿车
奔驰CLA级,Benz,外国,2014款,CLA260 4MATIC,2.0T,双离合,(进口),2014/7/1,2.1,34,41,0.83,小于10万,中级轿车
大众迈特威,Volkswagen,外国,2012款,迈特威,2.0T,双离合,豪华版(进口),2014/2/1,2.3,34,54.3,0.63,小于10万,中级轿车
宝马Z4,BMW,外国,2013款,Z4 sDrive20i,2.0T,自动,领先型(进口),2014/4/1,2.4,39,63.3,0.62,小于10万,中级轿车
宝马3系,BMW,外国,2013款,328Li,2.0T,自动,风尚型,2014/1/1,2.4,33.5,51.3,0.65,小于10万,中级轿车
别克君威GS,Buick,外国,2014款,,2.0T,自动,豪情运动版,2014/5/1,2.4,17,26,0.65,小于10万,中级轿车
别克君威GS,Buick,外国,2014款,,2.0T,自动,豪情运动版,2014/5/1,2.4,17,26,0.65,小于10万,中级轿车
宝马5系,BMW,外国,2014款,528Li,2.0T,自动,领先型,2015/4/1,2.4,42.5,59.8,0.71,小于10万,中级轿车
宝马5系,BMW,外国,2014款,528Li,2.0T,自动,领先型,2015/4/1,2.4,42.5,59.8,0.71,小于10万,中级轿车
保时捷Macan,Porsche,外国,2014款,Macan,2.0T,双离合,,2015/5/1,2.5,55.8,60.6,0.92,小于10万,中级轿车
福特锐界,Ford,外国,2012款,锐界,2.0T,自动,尊锐型(进口),2014/10/1,2.6,32,38.7,0.83,小于10万,中级轿车
纳智捷大7MPV,纳智,中国,2013款,,2.0T,自动,行政版,2014/5/1,2.7,15,29.1,0.52,小于10万,中级轿车
纳智捷大7MPV,纳智,中国,2013款,,2.0T,自动,行政版,2014/5/1,2.7,15,29.1,0.52,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2012/2/1,2.7,11.8,21.7,0.54,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2012/2/1,2.7,11.8,21.7,0.54,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2014款,,2.0T,自动,耀动版(进口),2014/5/1,2.7,40,68.2,0.59,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2014款,,2.0T,自动,耀动版(进口),2014/5/1,2.7,40,68.2,0.59,小于10万,中级轿车
宝马4系,BMW,外国,2014款,428i 敞篷轿跑车,2.0T,自动,运动设计套装(进口),2014/9/1,2.7,58.5,73.4,0.8,小于10万,中级轿车
路虎揽胜极光Coupe,Land Rover,外国,2013款,,2.0T,自动,3门眩蓝限量版(进口),2013/11/1,2.8,38,71.4,0.53,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2014款,,2.0T,自动,耀动版(进口),2014/9/1,2.8,39.5,68.2,0.58,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2014款,,2.0T,自动,耀动版(进口),2014/9/1,2.8,39.5,68.2,0.58,小于10万,中级轿车
沃尔沃S60L,Volvo,外国,2015款,,2.0T,自动,T5 智驭版,2015/2/1,2.8,26,37,0.7,小于10万,中级轿车
沃尔沃S60L,Volvo,外国,2015款,,2.0T,自动,T5 智驭版,2015/2/1,2.8,26,37,0.7,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2013款,蒙迪欧,2.0T,自动,GTDi200豪华型,2014/8/1,2.8,17.5,24.2,0.72,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2013款,蒙迪欧,2.0T,自动,GTDi200 豪华型,2015/1/1,2.8,17.8,24.2,0.74,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2013款,蒙迪欧,2.0T,自动,GTDi200 豪华型,2015/1/1,2.8,17.8,24.2,0.74,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2013款,,2.0T,自动,耀致版(进口),2013/9/1,2.9,36.9,68.2,0.54,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2015款,,2.0T,自动,耀动版(进口),2014/9/1,3.1,45,68.2,0.66,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2015款,,2.0T,自动,耀动版(进口),2014/9/1,3.1,45,68.2,0.66,小于10万,中级轿车
奔驰GLK级,Benz,外国,2014款,GLK260 4MATIC,2.0T,自动,动感型,2014/7/1,3.1,31,43.2,0.72,小于10万,中级轿车
奔驰GLK级,Benz,外国,2014款,GLK260 4MATIC,2.0T,自动,动感型,2014/7/1,3.1,31,43.2,0.72,小于10万,中级轿车
宝马3系,BMW,外国,2013款,328Li,2.0T,自动,风尚设计套装(改款),2013/12/1,3.2,28.5,51.6,0.55,小于10万,中级轿车
宝马3系,BMW,外国,2013款,328Li,2.0T,自动,风尚设计套装(改款),2013/12/1,3.2,28.5,51.6,0.55,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2013款,蒙迪欧,2.0T,自动,GTDi240 豪华运动型,2014/7/1,3.2,18.3,26.4,0.69,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2013款,蒙迪欧,2.0T,自动,GTDi240 豪华运动型,2014/7/1,3.2,18.3,26.4,0.69,小于10万,中级轿车
宝马5系,BMW,外国,2014款,528Li xDrive,2.0T,自动,领先型,2015/1/1,3.2,45,62.6,0.72,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2013款,蒙迪欧,2.0T,自动,GTDi200 时尚型,2014/4/1,3.2,16.8,22,0.76,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2013款,蒙迪欧,2.0T,自动,GTDi200 时尚型,2014/4/1,3.2,16.8,22,0.76,小于10万,中级轿车
宝马Z4,BMW,外国,2012款,Z4 sDrive20i,2.0T,自动,领先型(进口),2012/3/1,3.3,32.5,62.7,0.52,小于10万,中级轿车
宝马Z4,BMW,外国,2012款,Z4 sDrive20i,2.0T,自动,领先型(进口),2012/3/1,3.3,32.5,62.7,0.52,小于10万,中级轿车
宝马3系,BMW,外国,2014款,328Li,2.0T,自动,豪华设计套装,2014/1/1,3.3,33.8,50.5,0.67,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2015/2/1,3.3,37.5,54.2,0.69,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2015/9/1,3.3,40,54.2,0.74,小于10万,中级轿车
路虎神行者2代,Land Rover,外国,2012款,,2.0T,自动,Si4 HSE 汽油版(进口),2012/5/1,3.4,32,64.9,0.49,小于10万,中级轿车
路虎神行者2代,Land Rover,外国,2012款,,2.0T,自动,Si4 HSE 汽油版(进口),2012/5/1,3.4,32,64.9,0.49,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,豪华型,2013/7/1,3.6,35,53.7,0.65,小于10万,中级轿车
宝马5系,BMW,外国,2014款,520Li,2.0T,自动,典雅型,2013/11/1,3.6,33,47.3,0.7,小于10万,中级轿车
福特锐界,Ford,外国,2012款,锐界,2.0T,自动,精锐型(进口),2015/6/1,3.7,24.6,31.8,0.77,小于10万,中级轿车
福特锐界,Ford,外国,2012款,锐界,2.0T,自动,精锐型(进口),2015/6/1,3.7,24.6,31.8,0.77,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2012款,蒙迪欧致胜,2.0T,双离合,旗舰运动型,2013/1/1,3.8,13.6,27.9,0.49,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2012款,蒙迪欧致胜,2.0T,双离合,旗舰运动型,2013/1/1,3.8,13.6,27.9,0.49,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2012/11/1,3.8,11.8,21.7,0.54,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2013款,,2.0T,自动,耀动版(进口),2013/2/1,3.8,38.8,68.2,0.57,小于10万,中级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,2.0T,自动,两驱尊享商务版(进口),2014/2/1,3.8,68,119.2,0.57,小于10万,中级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,2.0T,自动,两驱尊享商务版(进口),2014/2/1,3.8,68,119.2,0.57,小于10万,中级轿车
宝马X3,BMW,外国,2013款,X3 xDrive20i,2.0T,自动,豪华型(进口),2013/5/1,3.8,35.5,54.2,0.65,小于10万,中级轿车
宝马X3,BMW,外国,2013款,X3 xDrive20i,2.0T,自动,豪华型(进口),2013/5/1,3.8,35.5,54.2,0.65,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2013/3/1,3.9,11.8,21.7,0.54,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2013/3/1,3.9,11.8,21.7,0.54,小于10万,中级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,2.0T,自动,两驱典雅商务版(进口),2014/4/1,4,55,97.5,0.56,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320i,2.0T,自动,运动设计套装(改款)(进口),2013/10/1,4,25,41.1,0.61,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320i,2.0T,自动,运动设计套装(改款)(进口),2013/10/1,4,25,41.1,0.61,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320i,2.0T,自动,运动设计套装(改款)(进口),2013/10/1,4,25,41.1,0.61,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320i,2.0T,自动,运动设计套装(改款)(进口),2013/10/1,4,25,41.1,0.61,小于10万,中级轿车
宝马3系,BMW,外国,2014款,320i,2.0T,自动,进取型,2014/9/1,4,23,34.7,0.66,小于10万,中级轿车
宝马3系,BMW,外国,2014款,320i,2.0T,自动,进取型,2014/9/1,4,23,34.7,0.66,小于10万,中级轿车
沃尔沃S80L,Volvo,外国,2012款,,2.0T,双离合,T5智雅版,2012/9/1,4.1,20,44,0.45,小于10万,中级轿车
沃尔沃S80L,Volvo,外国,2012款,,2.0T,双离合,T5智雅版,2012/9/1,4.1,20,44,0.45,小于10万,中级轿车
奥迪A4,Audi,外国,2014款,A4 Allroad Quattro,2.0T,双离合,40TFSI(进口),2013/12/1,4.2,29,51,0.57,小于10万,中级轿车
奥迪A4,Audi,外国,2014款,A4 Allroad Quattro,2.0T,双离合,40TFSI(进口),2013/12/1,4.2,29,51,0.57,小于10万,中级轿车
斯柯达明锐,Skoda,外国,2012款,明锐RS,2.0T,双离合,,2014/6/1,4.3,12.7,22.9,0.55,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2014/2/1,4.3,36.5,54.2,0.67,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2014/2/1,4.3,36.5,54.2,0.67,小于10万,中级轿车
陆风X5,陆风,中国,2013款,,2.0T,手动,两驱创领版,2013/11/1,4.5,6.8,12.6,0.54,小于10万,中级轿车
奔驰A级 AMG,Benz,外国,2014款,A45 AMG 4MATIC,2.0T,双离合,(进口),2014/7/1,4.5,42,54.1,0.78,小于10万,中级轿车
奔驰A级 AMG,Benz,外国,2014款,A45 AMG 4MATIC,2.0T,双离合,(进口),2014/7/1,4.5,42,54.1,0.78,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2012款,,2.0T,自动,耀动版(进口),2012/11/1,4.6,33,68.2,0.48,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2012款,,2.0T,自动,耀动版(进口),2012/11/1,4.6,33,68.2,0.48,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,豪华型,2013/9/1,4.6,33,53.7,0.61,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,豪华型,2013/9/1,4.6,33,53.7,0.61,小于10万,中级轿车
宝马X3,BMW,外国,2013款,X3 xDrive28i,2.0T,自动,豪华型（进口）,2013/5/1,4.7,32.8,65,0.5,小于10万,中级轿车
宝马X3,BMW,外国,2013款,X3 xDrive20i,2.0T,自动,豪华型（进口）,2013/5/1,4.7,32.8,65,0.5,小于10万,中级轿车
捷豹XF,Jaguar,外国,2013款,XF,2.0T,自动,风华版(进口),2013/11/1,4.7,33,59.7,0.55,小于10万,中级轿车
沃尔沃XC60,Volvo,外国,2013款,,2.0T,双离合,T5 智雅版(进口),2013/4/1,4.7,28.5,51.5,0.55,小于10万,中级轿车
沃尔沃XC60,Volvo,外国,2013款,,2.0T,双离合,T5 智雅版(进口),2013/4/1,4.7,28.5,51.5,0.55,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320i,2.0T,自动,运动设计套装(进口),2012/9/1,4.8,24,41.1,0.58,小于10万,中级轿车
宝马3系,BMW,外国,2014款,320Li,2.0T,自动,时尚型,2014/9/1,4.9,24.95,38.9,0.64,小于10万,中级轿车
宝马3系,BMW,外国,2014款,320Li,2.0T,自动,时尚型,2014/9/1,4.9,24.95,38.9,0.64,小于10万,中级轿车
宝马3系,BMW,外国,2013款,328i,2.0T,自动,运动型设计套装(进口),2013/4/1,5,26.5,46.3,0.57,小于10万,中级轿车
宝马3系,BMW,外国,2013款,328i,2.0T,自动,运动型设计套装(进口),2013/4/1,5,26.5,46.3,0.57,小于10万,中级轿车
宝马3系,BMW,外国,2014款,328i,2.0T,自动,运动设计套装(进口),2013/10/1,5,29.5,47.3,0.62,小于10万,中级轿车
宝马3系,BMW,外国,2014款,320Li,2.0T,手动,,2014/5/1,5,23,35.8,0.64,小于10万,中级轿车
宝马3系,BMW,外国,2014款,320Li,2.0T,手动,,2014/5/1,5,23,35.8,0.64,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,豪华型,2013/4/1,5,37.1,53.7,0.69,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2015/1/1,5.1,39.8,54.2,0.73,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2015/1/1,5.1,39.8,54.2,0.73,小于10万,中级轿车
沃尔沃S80L,Volvo,外国,2011款,,2.0T,双离合,T4智尚版,2011/8/1,5.3,17.5,39.9,0.44,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2014/1/1,5.3,36.8,54.2,0.68,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2014/1/1,5.3,36.8,54.2,0.68,小于10万,中级轿车
大众迈特威,Volkswagen,外国,2014款,迈特威,2.0T,双离合,行政版(进口),2014/4/1,5.4,58,88.8,0.65,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,豪华型,2013/6/1,5.7,36,53.7,0.67,小于10万,中级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,2.0T,自动,两驱典雅商务版(进口),2014/4/1,5.8,50,97.5,0.51,小于10万,中级轿车
奥迪A4,Audi,外国,2013款,A4 Allroad Quattro,2.0T,双离合,40TFSI舒适型(进口),2013/1/1,6,27.9,53.2,0.52,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2013款,,2.0T,自动,耀动版(进口),2013/10/1,6,36,68.2,0.53,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2013款,,2.0T,自动,耀动版(进口),2013/10/1,6,36,68.2,0.53,小于10万,中级轿车
宝马5系,BMW,外国,2014款,520i 旅行车,2.0T,自动,(进口),2013/10/1,6.1,32.8,53.1,0.62,小于10万,中级轿车
宝马5系,BMW,外国,2014款,520i 旅行车,2.0T,自动,(进口),2013/10/1,6.1,32.8,53.1,0.62,小于10万,中级轿车
沃尔沃XC60,Volvo,外国,2013款,,2.0T,双离合,T5智雅版(进口),2012/11/1,6.2,26,51.5,0.5,小于10万,中级轿车
沃尔沃XC60,Volvo,外国,2013款,,2.0T,双离合,T5智雅版(进口),2012/11/1,6.2,26,51.5,0.5,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,豪华型,2013/3/1,6.2,35.5,53.7,0.66,小于10万,中级轿车
绅宝,北汽,中国,2013款,,2.0T,自动,精英版,2015/3/1,6.3,10.2,18,0.57,小于10万,中级轿车
绅宝,北汽,中国,2013款,,2.0T,自动,精英版,2015/3/1,6.3,10.2,18,0.57,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,领先型,2013/8/1,6.4,30.8,49.9,0.62,小于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,领先型,2013/8/1,6.4,30.8,49.9,0.62,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2014/8/1,6.5,39,54.2,0.72,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,豪华设计套装,2014/8/1,6.5,39,54.2,0.72,小于10万,中级轿车
路虎神行者2代,Land Rover,外国,2014款,,2.0T,自动,Si4 SE 汽油版(进口),2014/6/1,6.7,38,58.4,0.65,小于10万,中级轿车
路虎神行者2代,Land Rover,外国,2014款,,2.0T,自动,Si4 HSE 汽油版(进口),2014/6/1,6.7,38,58.4,0.65,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320Li,2.0T,自动,风尚设计套装(改款),2014/3/1,6.8,28.8,44.6,0.65,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320Li,2.0T,自动,风尚设计套装(改款),2014/3/1,6.8,28.8,44.6,0.65,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,风尚设计套装,2013/11/1,6.8,35.8,54.2,0.66,小于10万,中级轿车
宝马5系,BMW,外国,2014款,525Li,2.0T,自动,风尚设计套装,2013/11/1,6.8,35.8,54.2,0.66,小于10万,中级轿车
沃尔沃S60,Volvo,外国,2013款,,2.0T,自动,T5 舒适版(进口),2012/12/1,7.5,16.8,35,0.48,小于10万,中级轿车
沃尔沃S60,Volvo,外国,2013款,,2.0T,自动,T5 舒适版(进口),2012/12/1,7.5,16.8,35,0.48,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320Li,2.0T,自动,豪华设计套装(改款),2013/9/1,7.5,22.8,43.9,0.52,小于10万,中级轿车
宝马3系,BMW,外国,2013款,320Li,2.0T,自动,豪华设计套装(改款),2013/9/1,7.5,22.8,43.9,0.52,小于10万,中级轿车
宝马X3,BMW,外国,2013款,X3 xDrive20i,2.0T,自动,豪华型(进口),2013/3/1,7.5,34,54.2,0.63,小于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2011/9/1,8.4,10.8,21.7,0.5,小于10万,中级轿车
别克君威,Buick,外国,2009款,,2.0T,自动,豪华运动版,2010/5/1,9,9.9,27.8,0.36,小于10万,中级轿车
别克君威,Buick,外国,2009款,,2.0T,自动,豪华运动版,2010/5/1,9,9.9,27.8,0.36,小于10万,中级轿车
路虎揽胜极光,Land Rover,外国,2012款,,2.0T,自动,耀动版(进口),2012/9/1,10.1,34,68.2,0.5,大于或等于10万,中级轿车
威麟X5,奇瑞,中国,2010款,,2.0T,手动,四驱舒适型,2012/1/1,10.3,6,14.7,0.41,大于或等于10万,中级轿车
宝马5系,BMW,外国,2013款,525Li,2.0T,自动,豪华型,2013/1/1,11.6,33,53.7,0.61,大于或等于10万,中级轿车
别克君威,Buick,外国,2009款,,2.0T,自动,豪华运动版,2009/11/1,12.6,9.57,27.8,0.34,大于或等于10万,中级轿车
宝马3系,BMW,外国,2014款,320Li,2.0T,自动,豪华设计套装,2014/10/1,13.1,30.2,43.7,0.69,大于或等于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200 时尚型,2011/11/1,13.8,9.6,21.7,0.44,大于或等于10万,中级轿车
福特蒙迪欧,Ford,外国,2011款,蒙迪欧致胜,2.0T,双离合,GTDi200时尚型,2011/11/1,13.8,9.6,21.7,0.44,大于或等于10万,中级轿车
宝马3系,BMW,外国,2011款,320i,2.0L,自动,时尚型,2011/4/1,7,20,37.4,0.53,小于10万,中级轿车
大众up!,Volkswagen,外国,2015款,up!,1L,自动,move up!(进口),2016/1/1,0.5,9.9,12.7,0.78,小于10万,低级轿车
大众up!,Volkswagen,外国,2015款,,1L,,move up!(进口),2016/1/1,0.5,9.9,12.7,0.78,小于10万,低级轿车
SmartFortwo Coupe,Benz Smart,外国,2012款,,1L,自动,MHD舒适版(进口),2015/8/1,0.9,9.6,13.9,0.69,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2012款,,1L,手动,时尚版启航型,2012/12/1,1.3,2,3.9,0.51,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2012款,,1L,手动,时尚版启航型,2012/12/1,1.3,2,3.9,0.51,小于10万,低级轿车
比亚迪F0,BYD,外国,2012款,,1L,手动,铉酷型,2014/3/1,1.3,2.3,4,0.58,小于10万,低级轿车
比亚迪F0,BYD,外国,2012款,,1L,手动,悦酷型,2012/6/1,2,2,4.4,0.45,小于10万,低级轿车
SmartFortwo Coupe,Benz Smart,外国,2012款,,1L,自动,MHD舒适版(进口),2015/4/1,2,8.6,13.9,0.62,小于10万,低级轿车
SmartFortwo Coupe,Benz Smart,外国,2013款,,1L,自动,MHD城市游侠特别版(进口),2013/7/1,2.7,8,15.2,0.53,小于10万,低级轿车
SmartFortwo,Benz Smart,外国,2013款,Coupe,1L,自动,MHD城市游侠特别版(进口),2013/7/1,2.7,8,15.2,0.53,小于10万,低级轿车
SmartFortwo Cabrio,Benz Smart,外国,2013款,,1L,自动,MHD 城市游侠特别版(进口),2014/4/1,3,7.6,18.4,0.41,小于10万,低级轿车
SmartFortwo Cabrio,Benz Smart,外国,2013款,,1L,自动,MHD 城市游侠特别版(进口),2014/4/1,3,7.6,18.4,0.41,小于10万,低级轿车
铃木奥拓,铃木,中国,2015款,,1L,手动,限定版,2015/5/1,3,3.59,5.7,0.63,小于10万,低级轿车
铃木奥拓,铃木,中国,2010款,,1L,自动,炫酷版,2010/12/1,3.3,2,6.8,0.29,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2009款,,1L,手动,,2010/12/1,4.7,1.4,4,0.35,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2009款,,1L,手动,,2010/12/1,4.7,1.4,4,0.35,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2012款,,1L,手动,时尚版冠军型,2012/3/1,4.9,1.4,3.6,0.39,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2012款,,1L,手动,时尚版冠军型,2012/3/1,4.9,1.4,3.6,0.39,小于10万,低级轿车
长安商用长安之星Ⅱ代,长安,中国,2008款,,1L,手动,,2012/1/1,6.1,1.2,4,0.3,小于10万,低级轿车
铃木奥拓,铃木,中国,2013款,,1L,手动,豪华版,2013/1/1,6.4,3,5.5,0.55,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2009款,,1L,手动,,2010/8/1,6.7,1.3,4,0.33,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2009款,,1L,手动,,2010/8/1,6.7,1.3,4,0.33,小于10万,低级轿车
长安商用长安之星2,长安,中国,2009款,,1L,手动,基本型,2010/10/1,7.4,0.9,4.3,0.21,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2012款,,1L,手动,时尚版启航型,2012/12/1,7.6,1.6,3.9,0.41,小于10万,低级轿车
奇瑞QQ3,奇瑞,中国,2012款,,1L,手动,时尚版启航型,2012/12/1,7.6,1.6,3.9,0.41,小于10万,低级轿车
铃木奥拓,铃木,中国,2010款,,1L,自动,炫酷版,2010/9/1,7.7,2.6,6.8,0.38,小于10万,低级轿车
铃木奥拓,铃木,中国,2010款,,1L,自动,炫酷版,2010/9/1,7.7,2.6,6.8,0.38,小于10万,低级轿车
长安商用长安之星2,长安,中国,2009款,,1L,手动,标准型,2011/11/1,12,1.7,4.6,0.37,大于或等于10万,低级轿车
大众CC,Volkswagen,外国,2016款,,1.8TSI,双离合,豪华型,2016/7/1,0.1,23.5,29.2,0.8,小于10万,中低级轿车
大众CC,Volkswagen,外国,2016款,,1.8TSI,双离合,豪华型,2016/7/1,0.1,23.5,29.2,0.8,小于10万,中低级轿车
大众途观,Volkswagen,外国,2016款,,1.8TSI,自动,300TSI 两驱风尚版,2016/5/1,0.2,19,23,0.83,小于10万,中低级轿车
大众途观,Volkswagen,外国,2016款,,1.8TSI,自动,300TSI两驱风尚版,2016/5/1,0.2,19,23,0.83,小于10万,中低级轿车
大众迈腾,Volkswagen,外国,2015款,迈腾,1.8TSI,双离合,豪华型,2015/7/1,2.3,19,25.3,0.75,小于10万,中低级轿车
大众迈腾,Volkswagen,外国,2015款,迈腾,1.8TSI,双离合,豪华型,2015/7/1,2.3,19,25.3,0.75,小于10万,中低级轿车
斯柯达野帝,Skoda,外国,2014款,野帝,1.8TSI,双离合,极地版,2014/11/1,2.5,15.5,24.3,0.64,小于10万,中低级轿车
斯柯达野帝,Skoda,外国,2014款,野帝,1.8TSI,双离合,极地版,2014/11/1,2.5,15.5,24.3,0.64,小于10万,中低级轿车
大众帕萨特,Volkswagen,外国,2015款,,1.8TSI,双离合,尊荣版,2016/2/1,2.5,19,23.8,0.8,小于10万,中低级轿车
大众途观,Volkswagen,外国,2012款,途观,1.8TSI,自动,四驱菁英版,2012/8/1,2.9,19,29.5,0.64,小于10万,中低级轿车
大众途观,Volkswagen,外国,2012款,途观,1.8TSI,自动,四驱菁英版,2012/8/1,2.9,19,29.5,0.64,小于10万,中低级轿车
大众CC,Volkswagen,外国,2012款,CC,1.8TSI,双离合,豪华版,2012/10/1,3.3,20,28.9,0.69,小于10万,中低级轿车
大众途观,Volkswagen,外国,2013款,途观,1.8TSI,自动,四驱豪华版,2013/10/1,3.3,23,30,0.77,小于10万,中低级轿车
大众途观,Volkswagen,外国,2015款,,1.8TSI,自动,四驱舒适版,2015/7/1,3.5,20.2,27.7,0.73,小于10万,中低级轿车
大众途观,Volkswagen,外国,2015款,,1.8TSI,自动,四驱舒适版,2015/7/1,3.5,20.2,27.7,0.73,小于10万,中低级轿车
大众帕萨特,Volkswagen,外国,2015款,,1.8TSI,双离合,尊荣版,2015/6/1,3.6,17.5,23.8,0.74,小于10万,中低级轿车
大众帕萨特,Volkswagen,外国,2015款,,1.8TSI,双离合,尊荣版,2015/6/1,3.6,17.5,23.8,0.74,小于10万,中低级轿车
大众途观,Volkswagen,外国,2015款,,1.8TSI,自动,两驱风尚版,2016/1/1,3.6,18,23,0.78,小于10万,中低级轿车
