"","Vehicle.brand","location","style","gear","time","kilometres","price","original.price","hedge.ratio","group1","group2"
"121","其他","外国","2015款","自动",21.3333333333333,5.6,121,148.6,0.81,"小于10万","中高级轿车"
"122","其他","外国","2010款","自动",54.8,1.3,60,125.2,0.48,"小于10万","中高级轿车"
"123","其他","外国","2013款","自动",31.4666666666667,1.9,27,53.4,0.51,"小于10万","中高级轿车"
"124","其他","外国","2013款","自动",31.4666666666667,1.9,27,53.4,0.51,"小于10万","中高级轿车"
"125","其他","外国","2013款","自动",30.4666666666667,2,41.8,51,0.82,"小于10万","中高级轿车"
"126","其他","外国","2013款","自动",30.4666666666667,2,41.8,51,0.82,"小于10万","中高级轿车"
"127","其他","外国","2013款","自动",37.5333333333333,3.7,45,61.9,0.73,"小于10万","中高级轿车"
"128","其他","外国","2012款","自动",39.5666666666667,3.9,29.88,49.5,0.6,"小于10万","中高级轿车"
"129","其他","外国","2012款","自动",57.8333333333333,7.8,34,53.2,0.64,"小于10万","中高级轿车"
"130","其他","外国","2012款","自动",57.8333333333333,7.8,34,53.2,0.64,"小于10万","中高级轿车"
"131","其他","外国","2012款","自动",57.8333333333333,8.5,39.8,78.1,0.51,"小于10万","中高级轿车"
"132","其他","外国","2012款","自动",57.8333333333333,8.5,39.8,78.1,0.51,"小于10万","中高级轿车"
"133","其他","外国","2010款","自动",56.8333333333333,9.3,80,135.9,0.59,"小于10万","中高级轿车"
"134","其他","外国","2013款","自动",28.4,1.6,41,58.6,0.7,"小于10万","中高级轿车"
"135","其他","外国","2013款","自动",28.4,1.6,41,58.6,0.7,"小于10万","中高级轿车"
"136","其他","外国","2013款","自动",40.5666666666667,3.5,50,77.9,0.64,"小于10万","中高级轿车"
"137","其他","外国","2013款","自动",42.6333333333333,4.4,38.8,58.6,0.66,"小于10万","中高级轿车"
"138","其他","外国","2013款","自动",42.6333333333333,4.4,38.8,58.6,0.66,"小于10万","中高级轿车"
"139","其他","外国","2012款","自动",40.5666666666667,4.7,58,97.5,0.59,"小于10万","中高级轿车"
"140","其他","外国","2011款","自动",34.5333333333333,4.8,49,73.3,0.67,"小于10万","中高级轿车"
"141","其他","外国","2011款","自动",67,5.9,22.7,46.7,0.49,"小于10万","中高级轿车"
"142","其他","外国","2011款","自动",67,5.9,22.7,46.7,0.49,"小于10万","中高级轿车"
"143","其他","外国","2008款","自动",101.433333333333,6.4,12,36.9,0.33,"小于10万","中高级轿车"
"144","其他","外国","2011款","自动",60.8666666666667,6.9,33.5,79,0.42,"小于10万","中高级轿车"
"145","其他","外国","2007款","自动",91.3333333333333,7.6,35,91,0.38,"小于10万","中高级轿车"
"146","其他","外国","2012款","自动",68,8.9,51,157.2,0.32,"小于10万","中高级轿车"
"147","其他","外国","2010款","自动",54.8,9.1,39,86.6,0.45,"小于10万","中高级轿车"
"148","其他","外国","2010款","自动",54.8,9.1,39,86.6,0.45,"小于10万","中高级轿车"
"149","其他","外国","2005款","自动",106.533333333333,10.3,38.5,151.7,0.25,"大于或等于10万","中高级轿车"
"150","其他","外国","2011款","自动",57.8333333333333,13.4,34,81.4,0.42,"大于或等于10万","中高级轿车"
"151","其他","外国","2007款","自动",100.433333333333,14.7,14,53.9,0.26,"大于或等于10万","中高级轿车"
"152","其他","外国","2007款","自动",100.433333333333,14.7,14,53.9,0.26,"大于或等于10万","中高级轿车"
"153","其他","外国","2013款","自动",43.6333333333333,2.9,62,109.5,0.57,"小于10万","中高级轿车"
"154","其他","外国","2010款","自动",83.2333333333333,7.9,25.8,70.3,0.37,"小于10万","中高级轿车"
